TwitterHandle,Date,TweetsAgo,Compound,Positive,Negative,Neutral,Tweet
CBS,2018-10-12 17:59:00+00:00,1,0.7579,0.265,0.735,0.0,This bonus spin was just a part of what made #PriceIsRight's Big Money Week enormous. What was your favorite moment? https://t.co/mhU50K8dJd
CBS,2018-10-11 18:05:06+00:00,2,0.5093,0.155,0.845,0.0,"RT @CBSAllAccess: Welcome to #TheTwilightZone, @justsanaa! The new series is coming to CBS All Access in 2019. 🌀 https://t.co/NdB7Vf4vdb"
CBS,2018-10-10 20:31:12+00:00,3,0.4939,0.198,0.802,0.0,"Ready to get into the Halloween spirit? An encore presentation of Michael Jackson’s Halloween will air Saturday, Oc… https://t.co/sgLdtV4SaR"
CBS,2018-10-09 19:23:28+00:00,4,-0.34,0.0,0.893,0.107,"@ira We may have accidentally offered the job already to Catherine Deneuve, thinking we were talking to you on the… https://t.co/4BgA5HgSeB"
CBS,2018-10-08 23:48:50+00:00,5,0.4215,0.237,0.763,0.0,RT @MadamSecretary: #ICYMI: A powerful moment from last night. #MadamSecretary https://t.co/MgQ11RlFmR
CBS,2018-10-08 16:37:00+00:00,6,0.6696,0.183,0.817,0.0,"RT @WorldsBestCBS: It’s the world’s best news! @JKCorden will host, and @DrewBarrymore, @RuPaul and @FaithHill will serve as judges of the…"
CBS,2018-10-07 14:00:01+00:00,7,0.3612,0.098,0.902,0.0,All the action on the gridiron from the comfort of your couch. Watch NFL on CBS LIVE today starting at 1pm ET. 🏈… https://t.co/WiXBm46gNV
CBS,2018-10-06 21:33:36+00:00,8,0.0772,0.064,0.936,0.0,"RT @CBSAllAccess: Take a first look at Spock, Number One, and Section 31’s newest recruit. #StarTrekDiscovery returns January 17, 2019. htt…"
CBS,2018-10-05 23:30:00+00:00,9,0.5423,0.2,0.8,0.0,"Viewers in Atlanta, Charlotte, Pittsburgh, and most of Michigan and Wisconsin, please take note of the DVR alert be… https://t.co/fradnBOvdk"
CBS,2018-10-05 20:10:09+00:00,10,-0.3612,0.0,0.821,0.179,"RT @MadamSecretary: Worlds collide when former Secretaries of State @HillaryClinton, @madeleine, and Colin Powell stop by #MadamSecretary f…"
CBS,2018-10-05 19:23:53+00:00,11,0.0,0.0,1.0,0.0,".@TheNeighborhood's @BethBehrs and @latelateshow may have come up with a new hit show called ""Naked Rabbi.""… https://t.co/KLsSlzgC0f"
CBS,2018-10-05 17:42:12+00:00,12,-0.6808,0.0,0.811,0.189,"RT @FBICBS: When a killer's victim survives to tell the tale, it's up to the team to catch him before he kills again. 

The first SEVEN MIN…"
CBS,2018-10-05 16:45:23+00:00,13,0.5023,0.213,0.787,0.0,But you know the CBS Fall TV that makes YOU smile. #WorldSmileDay https://t.co/JVOh5TlK0D
CBS,2018-10-05 16:45:22+00:00,14,-0.3724,0.0,0.758,0.242,Not everyone smiles at the same shows #WorldSmileDay https://t.co/XFwNIFleXf
CBS,2018-10-05 16:45:22+00:00,15,0.3612,0.2,0.8,0.0,"And smile at shows that, you know, get you. #WorldSmileDay https://t.co/9JpmKkB7Ky"
CBS,2018-10-05 16:45:21+00:00,16,0.6124,0.333,0.667,0.0,Smile at shows you’ve been meaning to smile at before #WorldSmileDay https://t.co/MWrtrX62BP
CBS,2018-10-05 16:45:21+00:00,17,0.7003,0.42,0.58,0.0,Get right back into smiling with your favorites #WorldSmileDay https://t.co/BohCiTymMO
CBS,2018-10-05 16:45:19+00:00,18,0.3612,0.263,0.737,0.0,Time to smile at new shows #WorldSmileDay https://t.co/n45SpVXuOq
CBS,2018-10-05 16:45:19+00:00,19,0.4199,0.285,0.715,0.0,Smile! CBS Fall TV is here. #WorldSmileDay https://t.co/QhmtAmJL0X
CBS,2018-10-04 17:17:46+00:00,20,0.0,0.0,1.0,0.0,"The Big Bang Theory.
Young Sheldon, Mom, Murphy Brown.
S.W.A.T. Watch them tonight.

#NationalPoetryDay"
CBS,2018-10-04 00:34:37+00:00,21,-0.3875,0.0,0.774,0.226,@shygirlsue @Ranker And we couldn't be prouder of you.😊 https://t.co/Rt9bRkv32J
CBS,2018-10-03 23:45:21+00:00,22,0.0,0.0,1.0,0.0,@suferah_khan https://t.co/hkLN6VK6WI
CBS,2018-10-03 23:39:03+00:00,23,0.7906,0.318,0.682,0.0,.@Ranker is ranking the best CBS shows of all time. Did your favorites make the list? https://t.co/D3ZrfZK0Q9
CBS,2018-10-03 19:35:31+00:00,24,0.4939,0.151,0.849,0.0,".@CrimMinds_CBS returns tonight for its 300th episode. In honor of the milestone season premiere, the cast has a me… https://t.co/o9aKkBKKtw"
CBS,2018-10-03 17:05:20+00:00,25,0.6956,0.31,0.69,0.0,".@wayansjr debuted his perfect impression of his father on @colbertlateshow but everybody, be cool, and don't tell… https://t.co/MWa9UNOORj"
CBS,2018-10-02 21:25:29+00:00,26,0.8858,0.354,0.646,0.0,RT @CBSAllAccess: It's a great day to be a fan of #TheTwilightZone! We're celebrating the 59th anniversary of the classic series AND the of…
CBS,2018-10-02 18:36:26+00:00,27,0.0,0.0,1.0,0.0,"⚡️ “Happy Together Premieres on CBS”

https://t.co/W7IvELcMcw"
CBS,2018-10-02 17:52:53+00:00,28,0.1622,0.121,0.746,0.133,"@miamicah We don't know for sure about that, but we are sure that you should be some sort of TV detective. 🙂 https://t.co/uW5aSn7jlO"
CBS,2018-10-02 16:49:34+00:00,29,0.0,0.0,1.0,0.0,"⚡️ “The Neighborhood Premieres on CBS”

https://t.co/R72l342BFE"
CBS,2018-10-02 02:42:23+00:00,30,0.3182,0.119,0.881,0.0,"RT @startrekcbs: Discover the next adventure of #StarTrekDiscovery January 2019, and catch #Starfleet at @NY_Comic_Con THIS Saturday. https…"
CBS,2018-10-02 01:10:54+00:00,31,0.765,0.292,0.708,0.0,The stars of @TheNeighborhood and @happytogether celebrated their shows' premieres on CBS tonight with a good old f… https://t.co/fu9SJzv7hZ
CBS,2018-10-02 00:01:07+00:00,32,0.0,0.0,1.0,0.0,"RT @TheNeighborhood: It's almost time! Our live Q&amp;A with the casts of #TheNeighborhood &amp; #HappyTogether is starting at 8pm ET/ 5pm PT. 

Se…"
CBS,2018-10-01 21:56:03+00:00,33,0.0,0.0,1.0,0.0,Head over to the CBS Facebook page now for the #FacebookLive with @happytogether’s @wayansjr and @TheNeighborhood’s… https://t.co/37QOrVA1sh
CBS,2018-10-01 16:33:11+00:00,34,0.296,0.136,0.864,0.0,Join @happytogether's @wayansjr and @TheNeighborhood's @iamgreenfield for a Facebook Live TODAY at 5:45p ET/2:45 PT… https://t.co/klrx7cA41H
CBS,2018-09-30 23:51:26+00:00,35,-0.2263,0.0,0.909,0.091,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in East/Central time zones ONLY. New start times:… https://t.co/zmEn7CVlUi"
CBS,2018-09-30 17:00:00+00:00,36,0.6124,0.19,0.81,0.0,The cast of @GodFriendedMe answers some heavenly questions about social media before the show premieres tonight aft… https://t.co/61Tx2GTn35
CBS,2018-09-30 14:34:18+00:00,37,0.0,0.0,1.0,0.0,RT @CBSAllAccess: Stream NFL on CBS LIVE today starting at 1pm ET on CBS All Access! 🏈 https://t.co/vsod8jYeZl https://t.co/UBp3R4UCAd
